stamp,data
1546753112.5,143.0
1546753112.51,144.0
1546753112.52,145.0
1546753112.53,142.0
1546753112.54,146.0
1546753112.55,141.0
1546753112.56,142.0
1546753112.57,144.0
1546753112.58,142.0
1546753112.59,144.0
1546753112.6,140.0
1546753112.61,140.0
1546753112.62,141.0
1546753112.63,139.0
1546753112.64,140.0
1546753112.65,136.0
1546753112.66,138.0
1546753112.67,139.0
1546753112.68,136.0
1546753112.69,137.0
1546753112.7,134.0
1546753112.71,136.0
1546753112.72,137.0
1546753112.73,134.0
1546753112.74,135.0
1546753112.75,132.0
1546753112.76,134.0
1546753112.77,135.0
1546753112.78,133.0
1546753112.79,134.0
1546753112.8,131.0
1546753112.81,133.0
1546753112.82,136.0
1546753112.83,133.0
1546753112.85,135.0
1546753112.85,133.0
1546753112.86,135.0
1546753112.87,139.0
1546753112.88,136.0
1546753112.89,138.0
1546753112.9,135.0
1546753112.91,137.0
1546753112.92,140.0
1546753112.93,138.0
1546753112.94,137.0
1546753112.95,136.0
1546753112.96,136.0
1546753112.97,138.0
1546753112.98,135.0
1546753112.99,134.0
1546753113.0,132.0
1546753113.01,133.0
1546753113.02,135.0
1546753113.03,133.0
1546753113.04,131.0
1546753113.05,129.0
1546753113.06,131.0
1546753113.07,133.0
1546753113.08,131.0
1546753113.09,129.0
1546753113.1,129.0
1546753113.11,130.0
1546753113.12,133.0
1546753113.13,132.0
1546753113.14,130.0
1546753113.15,129.0
1546753113.16,130.0
1546753113.17,131.0
1546753113.18,130.0
1546753113.19,128.0
1546753113.2,127.0
1546753113.21,129.0
1546753113.22,130.0
1546753113.23,128.0
1546753113.24,127.0
1546753113.25,127.0
1546753113.26,129.0
1546753113.27,130.0
1546753113.28,129.0
1546753113.29,128.0
1546753113.3,128.0
1546753113.31,130.0
1546753113.32,130.0
1546753113.33,127.0
1546753113.34,126.0
1546753113.35,125.0
1546753113.36,127.0
1546753113.37,128.0
1546753113.38,125.0
1546753113.39,125.0
1546753113.4,123.0
1546753113.41,127.0
1546753113.42,127.0
1546753113.43,124.0
1546753113.44,124.0
1546753113.45,124.0
1546753113.46,127.0
1546753113.47,127.0
1546753113.48,125.0
1546753113.49,124.0
1546753113.5,123.0
1546753113.51,126.0
1546753113.52,126.0
1546753113.53,124.0
1546753113.54,123.0
1546753113.55,123.0
1546753113.56,126.0
1546753113.57,125.0
1546753113.58,124.0
1546753113.59,123.0
1546753113.6,122.0
1546753113.61,124.0
1546753113.62,124.0
1546753113.63,123.0
1546753113.64,123.0
1546753113.65,122.0
1546753113.66,124.0
1546753113.67,124.0
1546753113.68,120.0
1546753113.69,120.0
1546753113.7,120.0
1546753113.71,118.0
1546753113.72,119.0
1546753113.73,116.0
1546753113.74,115.0
1546753113.75,113.0
1546753113.76,111.0
1546753113.77,110.0
1546753113.78,107.0
1546753113.79,105.0
1546753113.8,105.0
1546753113.81,103.0
1546753113.82,103.0
1546753113.83,102.0
1546753113.84,102.0
1546753113.85,102.0
1546753113.86,100.0
1546753113.87,97.0
1546753113.88,98.0
1546753113.89,97.0
1546753113.9,97.0
1546753113.91,96.0
1546753113.92,93.0
1546753113.93,94.0
1546753113.94,93.0
1546753113.95,93.0
1546753113.96,93.0
1546753113.97,91.0
1546753113.98,92.0
1546753113.99,93.0
1546753114.0,96.0
1546753114.01,98.0
1546753114.02,99.0
1546753114.03,101.0
1546753114.04,102.0
1546753114.05,103.0
1546753114.06,106.0
1546753114.07,106.0
1546753114.08,107.0
1546753114.09,107.0
1546753114.1,108.0
1546753114.11,107.0
1546753114.12,105.0
1546753114.13,104.0
1546753114.14,103.0
1546753114.15,103.0
1546753114.16,101.0
1546753114.18,100.0
1546753114.18,99.0
1546753114.19,98.0
1546753114.2,99.0
1546753114.21,97.0
1546753114.23,97.0
1546753114.23,96.0
1546753114.24,96.0
1546753114.25,96.0
1546753114.26,99.0
1546753114.27,98.0
1546753114.28,100.0
1546753114.29,102.0
1546753114.3,103.0
1546753114.31,105.0
1546753114.33,105.0
1546753114.33,106.0
1546753114.34,109.0
1546753114.35,110.0
1546753114.36,106.0
1546753114.37,108.0
1546753114.38,106.0
1546753114.39,105.0
1546753114.4,106.0
1546753114.41,102.0
1546753114.42,105.0
1546753114.43,102.0
1546753114.44,101.0
1546753114.45,104.0
1546753114.46,100.0
1546753114.47,102.0
1546753114.48,101.0
1546753114.49,102.0
1546753114.5,105.0
1546753114.51,107.0
1546753114.52,108.0
1546753114.53,108.0
1546753114.54,110.0
1546753114.55,112.0
1546753114.56,109.0
1546753114.57,111.0
1546753114.58,108.0
1546753114.59,106.0
1546753114.6,108.0
1546753114.61,103.0
1546753114.62,103.0
1546753114.63,102.0
1546753114.64,100.0
1546753114.65,102.0
1546753114.66,99.0
1546753114.67,100.0
1546753114.68,98.0
1546753114.69,97.0
1546753114.7,95.0
1546753114.71,98.0
1546753114.72,98.0
1546753114.73,99.0
1546753114.74,101.0
1546753114.75,102.0
1546753114.76,105.0
1546753114.77,107.0
1546753114.78,108.0
1546753114.79,110.0
1546753114.8,112.0
1546753114.81,109.0
1546753114.82,107.0
1546753114.83,106.0
1546753114.85,104.0
1546753114.85,102.0
1546753114.86,101.0
1546753114.87,97.0
1546753114.89,98.0
1546753114.89,98.0
1546753114.9,96.0
1546753114.91,96.0
1546753114.93,94.0
1546753114.93,95.0
1546753114.94,95.0
1546753114.95,97.0
1546753114.96,100.0
1546753114.97,99.0
1546753114.99,100.0
1546753114.99,104.0
1546753115.0,105.0
1546753115.01,107.0
1546753115.02,106.0
1546753115.03,106.0
1546753115.04,105.0
1546753115.05,105.0
