stamp,data
1546748875.55,281.0
1546748875.58,285.0
1546748875.6,280.0
1546748875.62,280.0
1546748875.63,281.0
1546748875.65,271.0
1546748875.67,274.0
1546748875.68,268.0
1546748875.7,269.0
1546748875.71,271.0
1546748875.73,261.0
1546748875.75,266.0
1546748875.77,260.0
1546748875.78,260.0
1546748875.8,262.0
1546748875.82,251.0
1546748875.83,255.0
1546748875.85,251.0
1546748875.86,252.0
1546748875.88,253.0
1546748875.9,243.0
1546748875.92,247.0
1546748875.93,242.0
1546748875.95,241.0
1546748875.97,243.0
1546748875.98,233.0
1546748876.0,239.0
1546748876.02,239.0
1546748876.03,241.0
1546748876.05,244.0
1546748876.06,236.0
1546748876.08,242.0
1546748876.1,240.0
1546748876.12,242.0
1546748876.13,245.0
1546748876.15,237.0
1546748876.17,244.0
1546748876.18,244.0
1546748876.2,246.0
1546748876.22,251.0
1546748876.23,242.0
1546748876.25,248.0
1546748876.27,244.0
1546748876.28,244.0
1546748876.3,247.0
1546748876.32,236.0
1546748876.33,243.0
1546748876.35,240.0
1546748876.37,239.0
1546748876.38,242.0
1546748876.4,233.0
1546748876.4,238.0
1546748876.43,234.0
1546748876.45,232.0
1546748876.46,225.0
1546748876.48,207.0
1546748876.5,206.0
1546748876.52,198.0
1546748876.53,194.0
1546748876.55,195.0
1546748876.57,185.0
1546748876.58,192.0
1546748876.6,198.0
1546748876.62,210.0
1546748876.63,226.0
1546748876.65,224.0
1546748876.66,238.0
1546748876.68,244.0
1546748876.7,247.0
1546748876.72,257.0
1546748876.73,250.0
1546748876.75,260.0
1546748876.77,257.0
1546748876.78,258.0
1546748876.8,260.0
1546748876.81,248.0
1546748876.83,253.0
1546748876.85,248.0
1546748876.86,246.0
1546748876.88,248.0
1546748876.9,236.0
1546748876.91,240.0
1546748876.93,236.0
1546748876.95,231.0
1546748876.96,232.0
1546748876.98,220.0
1546748877.0,223.0
1546748877.01,220.0
1546748877.02,216.0
1546748877.04,220.0
1546748877.06,207.0
1546748877.08,211.0
1546748877.1,206.0
1546748877.11,205.0
1546748877.13,207.0
1546748877.15,196.0
1546748877.17,201.0
1546748877.18,196.0
1546748877.2,193.0
1546748877.22,197.0
1546748877.23,187.0
1546748877.25,192.0
1546748877.26,188.0
1546748877.28,186.0
1546748877.32,189.0
1546748877.33,179.0
1546748877.35,184.0
1546748877.37,181.0
1546748877.38,180.0
1546748877.4,184.0
1546748877.42,176.0
1546748877.43,181.0
1546748877.45,178.0
1546748877.47,178.0
1546748877.48,183.0
1546748877.5,173.0
1546748877.52,179.0
1546748877.53,177.0
1546748877.55,173.0
1546748877.57,178.0
1546748877.58,169.0
1546748877.6,175.0
1546748877.61,173.0
1546748877.63,171.0
1546748877.65,174.0
1546748877.67,166.0
1546748877.68,172.0
1546748877.7,169.0
1546748877.7,167.0
1546748877.73,171.0
1546748877.75,162.0
1546748877.76,164.0
1546748877.78,162.0
1546748877.8,158.0
1546748877.82,160.0
1546748877.83,152.0
1546748877.85,154.0
1546748877.87,152.0
1546748877.88,146.0
1546748877.92,150.0
1546748877.93,144.0
1546748877.95,146.0
1546748877.97,145.0
1546748877.98,141.0
1546748878.0,144.0
1546748878.02,139.0
1546748878.03,143.0
1546748878.05,143.0
1546748878.06,140.0
1546748878.08,144.0
1546748878.1,138.0
1546748878.12,142.0
1546748878.13,141.0
1546748878.15,138.0
1546748878.17,141.0
1546748878.18,136.0
1546748878.2,137.0
1546748878.22,134.0
1546748878.23,133.0
1546748878.25,134.0
1546748878.27,129.0
1546748878.28,134.0
1546748878.3,136.0
1546748878.31,136.0
1546748878.33,143.0
1546748878.35,139.0
1546748878.36,143.0
1546748878.38,145.0
1546748878.4,140.0
1546748878.41,148.0
1546748878.43,142.0
1546748878.45,147.0
1546748878.47,148.0
1546748878.48,144.0
1546748878.5,151.0
1546748878.52,143.0
1546748878.53,146.0
1546748878.55,147.0
1546748878.57,144.0
1546748878.58,148.0
1546748878.6,142.0
1546748878.62,144.0
1546748878.63,145.0
1546748878.65,142.0
1546748878.67,147.0
1546748878.68,142.0
1546748878.7,146.0
1546748878.72,147.0
1546748878.73,144.0
1546748878.75,151.0
1546748878.77,146.0
1546748878.78,150.0
1546748878.8,151.0
1546748878.82,147.0
1546748878.83,152.0
1546748878.85,148.0
1546748878.87,151.0
1546748878.88,152.0
1546748878.9,148.0
1546748878.92,155.0
1546748878.93,148.0
